"Ano Cargos";"Mês Cargos";"Cargo_Final";"Grupo Cargo";"Função nome";"Agrupamento Geral";"Natureza Jurídica";"Nível Função";"Tipo Função Detalhada2";"Níveis";"RLP"
2025;"Nov";0;"S/cargo";"FUNCÃO COMISSIONADA EXECUTIVA";"CCE & FCE";"Administração Direta Federal";"FEX-0117";"Comissionados de Direção e Assessoramento";"Nível 17";"DAS-6"
2025;"Nov";30016;"D-030";"FUNCÃO COMISSIONADA EXECUTIVA";"CCE & FCE";"Administração Direta Federal";"FEX-0117";"Comissionados de Direção e Assessoramento";"Nível 17";"DAS-6"
2025;"Nov";403100;"G-403";"FUNCÃO COMISSIONADA EXECUTIVA";"CCE & FCE";"Administração Direta Federal";"FEX-0117";"Comissionados de Direção e Assessoramento";"Nível 17";"DAS-6"
2025;"Nov";239010;"CFT-239";"FUNCÃO COMISSIONADA EXECUTIVA";"CCE & FCE";"Administração Direta Federal";"FEX-0117";"Comissionados de Direção e Assessoramento";"Nível 17";"DAS-6"
2025;"Nov";911001;"PRF-911";"FUNCÃO COMISSIONADA EXECUTIVA";"CCE & FCE";"Administração Direta Federal";"FEX-0117";"Comissionados de Direção e Assessoramento";"Nível 17";"DAS-6"
2025;"Nov";403003;"G-403";"FUNCÃO COMISSIONADA EXECUTIVA";"CCE & FCE";"Administração Direta Federal";"FEX-0117";"Comissionados de Direção e Assessoramento";"Nível 17";"DAS-6"
2025;"Nov";408001;"CAJ-408";"FUNCÃO COMISSIONADA EXECUTIVA";"CCE & FCE";"Administração Direta Federal";"FEX-0117";"Comissionados de Direção e Assessoramento";"Nível 17";"DAS-6"
2025;"Nov";410001;"CAU-410";"FUNCÃO COMISSIONADA EXECUTIVA";"CCE & FCE";"Administração Direta Federal";"FEX-0117";"Comissionados de Direção e Assessoramento";"Nível 17";"DAS-6"
2025;"Nov";901001;"DPF-901";"FUNCÃO COMISSIONADA EXECUTIVA";"CCE & FCE";"Administração Direta Federal";"FEX-0117";"Comissionados de Direção e Assessoramento";"Nível 17";"DAS-6"
2025;"Nov";0;"S/cargo";"FUNCÃO COMISSIONADA EXECUTIVA";"CCE & FCE";"Fundação Federal";"FEX-0117";"Comissionados de Direção e Assessoramento";"Nível 17";"DAS-6"
